name,srx,platform,layout,ilength,srr,spots,bases
SC711SL,SRX6446859,ILLUMINA,PAIRED,,SRR9687522,"31,189,914",9
SC712,SRX6446938,ILLUMINA,PAIRED,,SRR9687443,"24,839,594",7
SC712AL,SRX6446848,ILLUMINA,PAIRED,,SRR9687533,"24,328,545",7
SC712D,SRX6446909,ILLUMINA,PAIRED,,SRR9687472,"26,020,025",7
SC712DL,SRX6446923,ILLUMINA,PAIRED,,SRR9687458,"56,570,814",16
SC712S,SRX6446838,ILLUMINA,PAIRED,,SRR9687543,"49,706,167",14
SC712SL,SRX6446860,ILLUMINA,PAIRED,,SRR9687521,"20,893,616",6
SC713,SRX6446939,ILLUMINA,PAIRED,,SRR9687442,"23,380,736",7
SC713AL,SRX6446847,ILLUMINA,PAIRED,,SRR9687534,"25,194,326",7
SC713D,SRX6446910,ILLUMINA,PAIRED,,SRR9687471,"26,549,133",7
SC713DL,SRX6446920,ILLUMINA,PAIRED,,SRR9687461,"64,491,795",19
SC713S,SRX6446839,ILLUMINA,PAIRED,,SRR9687542,"49,207,312",14
SC713SL,SRX6446861,ILLUMINA,PAIRED,,SRR9687520,"31,819,729",9
SC714,SRX6446936,ILLUMINA,PAIRED,,SRR9687445,"21,446,465",6
SC714AL,SRX6446846,ILLUMINA,PAIRED,,SRR9687535,"44,632,611",13
SC714D,SRX6446911,ILLUMINA,PAIRED,,SRR9687470,"26,499,063",7
SC714DL,SRX6446921,ILLUMINA,PAIRED,,SRR9687460,"20,685,362",6
SC714S,SRX6446836,ILLUMINA,PAIRED,,SRR9687545,"55,889,785",16
SC714SL,SRX6446856,ILLUMINA,PAIRED,,SRR9687525,"25,179,353",7
SC715,SRX6446937,ILLUMINA,PAIRED,,SRR9687444,"23,175,955",6
SC715AL,SRX6446853,ILLUMINA,PAIRED,,SRR9687528,"45,439,773",13
SC715D,SRX6446912,ILLUMINA,PAIRED,,SRR9687469,"26,715,996",8
SC715DL,SRX6446918,ILLUMINA,PAIRED,,SRR9687463,"51,997,643",15
SC715S,SRX6446837,ILLUMINA,PAIRED,,SRR9687544,"52,500,327",15
SC715SL,SRX6446857,ILLUMINA,PAIRED,,SRR9687524,"22,106,582",6
SC721,SRX6446870,ILLUMINA,PAIRED,,SRR9687511,"24,133,577",7
SC721AL,SRX6446852,ILLUMINA,PAIRED,,SRR9687529,"30,543,655",9
SC721D,SRX6446913,ILLUMINA,PAIRED,,SRR9687468,"23,154,437",6
SC721DL,SRX6446919,ILLUMINA,PAIRED,,SRR9687462,"60,032,272",18
SC721S,SRX6446905,ILLUMINA,PAIRED,,SRR9687476,"50,474,030",15
SC721SL,SRX6446831,ILLUMINA,PAIRED,,SRR9687550,"44,732,106",13
SC722,SRX6446871,ILLUMINA,PAIRED,,SRR9687510,"25,194,746",7
SC722AL,SRX6446851,ILLUMINA,PAIRED,,SRR9687530,"21,536,013",6
SC722D,SRX6446914,ILLUMINA,PAIRED,,SRR9687467,"24,476,073",7
SC722DL,SRX6446916,ILLUMINA,PAIRED,,SRR9687465,"48,950,341",14
SC722S,SRX6446904,ILLUMINA,PAIRED,,SRR9687477,"52,507,781",15
SC722SL,SRX6446830,ILLUMINA,PAIRED,,SRR9687551,"51,551,132",15
SC723,SRX6446872,ILLUMINA,PAIRED,,SRR9687509,"23,381,241",7
SC723AL,SRX6446850,ILLUMINA,PAIRED,,SRR9687531,"23,352,072",7
SC723D,SRX6446915,ILLUMINA,PAIRED,,SRR9687466,"23,987,385",7
SC723DL,SRX6446917,ILLUMINA,PAIRED,,SRR9687464,"22,632,092",6
SC723S,SRX6446903,ILLUMINA,PAIRED,,SRR9687478,"57,513,326",17
SC723SL,SRX6446833,ILLUMINA,PAIRED,,SRR9687548,"45,835,090",13
SC724,SRX6446873,ILLUMINA,PAIRED,,SRR9687508,"23,908,643",7
SC724AL,SRX6446855,ILLUMINA,PAIRED,,SRR9687526,"22,960,280",6
SC724D,SRX6446906,ILLUMINA,PAIRED,,SRR9887820,"31,117,149",9
SC724DL,SRX6446924,ILLUMINA,PAIRED,,SRR9687457,"20,646,042",6
SC724S,SRX6446902,ILLUMINA,PAIRED,,SRR9687479,"54,742,804",16
SC724SL,SRX6446832,ILLUMINA,PAIRED,,SRR9687549,"43,357,526",13
SC725,SRX6446866,ILLUMINA,PAIRED,,SRR9687515,"27,452,149",8
SC725AL,SRX6446854,ILLUMINA,PAIRED,,SRR9687527,"27,105,044",8
SC725D,SRX6446907,ILLUMINA,PAIRED,,SRR9687474,"23,171,511",6
SC725DL,SRX6446925,ILLUMINA,PAIRED,,SRR9687456,"22,519,188",6
SC725S,SRX6446901,ILLUMINA,PAIRED,,SRR9687480,"46,083,642",13
SC725SL,SRX6446827,ILLUMINA,PAIRED,,SRR9687554,"53,016,570",15
SC731AL,SRX6446877,ILLUMINA,PAIRED,,SRR9687504,"49,306,409",14
SC731S,SRX6446867,ILLUMINA,PAIRED,,SRR9687514,"32,849,286",9
SC732AL,SRX6446876,ILLUMINA,PAIRED,,SRR9687505,"19,941,456",5
SC732S,SRX6446868,ILLUMINA,PAIRED,,SRR9687513,"22,251,336",6
SC733AL,SRX6446879,ILLUMINA,PAIRED,,SRR9687502,"25,000,396",7
SC733S,SRX6446869,ILLUMINA,PAIRED,,SRR9687512,"25,078,968",7
SC734AL,SRX6446878,ILLUMINA,PAIRED,,SRR9687503,"22,251,176",6
SC734S,SRX6446874,ILLUMINA,PAIRED,,SRR9687507,"22,248,934",6
SC735AL,SRX6446881,ILLUMINA,PAIRED,,SRR9687500,"18,674,569",5
SC735S,SRX6446875,ILLUMINA,PAIRED,,SRR9687506,"23,433,866",7
SC741AL,SRX6446880,ILLUMINA,PAIRED,,SRR9687501,"23,256,521",6
SC741S,SRX6446933,ILLUMINA,PAIRED,,SRR9687448,"30,060,118",9
SC742AL,SRX6446883,ILLUMINA,PAIRED,,SRR9687498,"20,584,248",6
SC742S,SRX6446932,ILLUMINA,PAIRED,,SRR9687449,"27,161,022",8
SC743AL,SRX6446882,ILLUMINA,PAIRED,,SRR9687499,"24,566,049",7
SC743S,SRX6446935,ILLUMINA,PAIRED,,SRR9687446,"27,076,440",8
SC744AL,SRX6446885,ILLUMINA,PAIRED,,SRR9687496,"23,870,886",7
SC744S,SRX6446934,ILLUMINA,PAIRED,,SRR9687447,"26,906,115",8
SC745AL,SRX6446884,ILLUMINA,PAIRED,,SRR9687497,"19,585,551",5
SC745S,SRX6446929,ILLUMINA,PAIRED,,SRR9687452,"23,857,222",7
SC751AL,SRX6446888,ILLUMINA,PAIRED,,SRR9687493,"25,962,569",7
SC751S,SRX6446928,ILLUMINA,PAIRED,,SRR9687453,"28,058,862",8
SC752AL,SRX6446889,ILLUMINA,PAIRED,,SRR9687492,"24,211,248",7
SC752S,SRX6446931,ILLUMINA,PAIRED,,SRR9687450,"23,273,346",6
SC753AL,SRX6446886,ILLUMINA,PAIRED,,SRR9687495,"25,057,672",7
SC753S,SRX6446930,ILLUMINA,PAIRED,,SRR9687451,"32,642,183",9
SC754AL,SRX6446887,ILLUMINA,PAIRED,,SRR9687494,"22,997,809",6
SC754S,SRX6446927,ILLUMINA,PAIRED,,SRR9687454,"29,794,462",8
SC755AL,SRX6446892,ILLUMINA,PAIRED,,SRR9687489,"24,876,089",7
SC755S,SRX6446926,ILLUMINA,PAIRED,,SRR9687455,"24,088,700",7
