#Experiment,Sample_Name,Bases
SRX6446922,SC711DL,8477157300
SRX6446841,SC711S,18011111100
SRX6446859,SC711SL,9356974200
SRX6446938,SC712,7451878200
SRX6446848,SC712AL,7298563500
SRX6446909,SC712D,7806007500
SRX6446923,SC712DL,16971244200
SRX6446838,SC712S,14911850100
SRX6446860,SC712SL,6268084800
SRX6446939,SC713,7014220800
SRX6446847,SC713AL,7558297800
SRX6446910,SC713D,7964739900
SRX6446920,SC713DL,19347538500
SRX6446839,SC713S,14762193600
SRX6446861,SC713SL,9545918700
SRX6446936,SC714,6433939500
SRX6446846,SC714AL,13389783300
SRX6446911,SC714D,7949718900
SRX6446921,SC714DL,6205608600
SRX6446836,SC714S,16766935500
SRX6446856,SC714SL,7553805900
SRX6446937,SC715,6952786500
SRX6446853,SC715AL,13631931900
SRX6446912,SC715D,8014798800
SRX6446918,SC715DL,15599292900
SRX6446837,SC715S,15750098100
SRX6446857,SC715SL,6631974600
SRX6446870,SC721,7240073100
SRX6446852,SC721AL,9163096500
SRX6446913,SC721D,6946331100
SRX6446919,SC721DL,18009681600
SRX6446905,SC721S,15142209000
SRX6446831,SC721SL,13419631800
SRX6446871,SC722,7558423800
SRX6446851,SC722AL,6460803900
SRX6446914,SC722D,7342821900
SRX6446916,SC722DL,14685102300
SRX6446904,SC722S,15752334300
SRX6446830,SC722SL,15465339600
SRX6446872,SC723,7014372300
SRX6446850,SC723AL,7005621600
SRX6446915,SC723D,7196215500
SRX6446917,SC723DL,6789627600
SRX6446903,SC723S,17253997800
SRX6446833,SC723SL,13750527000
SRX6446873,SC724,7172592900
SRX6446855,SC724AL,6888084000
SRX6446906,SC724D,9335144700
SRX6446924,SC724DL,6193812600
SRX6446902,SC724S,16422841200
SRX6446832,SC724SL,13007257800
SRX6446866,SC725,8235644700
SRX6446854,SC725AL,8131513200
SRX6446907,SC725D,6951453300
SRX6446925,SC725DL,6755756400
SRX6446901,SC725S,13825092600
SRX6446827,SC725SL,15904971000
SRX6446877,SC731AL,14791922700
SRX6446867,SC731S,9854785800
SRX6446876,SC732AL,5982436800
SRX6446868,SC732S,6675400800
SRX6446879,SC733AL,7500118800
SRX6446869,SC733S,7523690400
SRX6446878,SC734AL,6675352800
SRX6446874,SC734S,6674680200
SRX6446881,SC735AL,5602370700
SRX6446875,SC735S,7030159800
SRX6446880,SC741AL,6976956300
SRX6446933,SC741S,9018035400
SRX6446883,SC742AL,6175274400
SRX6446932,SC742S,8148306600
SRX6446882,SC743AL,7369814700
SRX6446935,SC743S,8122932000
SRX6446885,SC744AL,7161265800
SRX6446934,SC744S,8071834500
SRX6446884,SC745AL,5875665300
SRX6446929,SC745S,7157166600
SRX6446888,SC751AL,7788770700
SRX6446928,SC751S,8417658600
SRX6446889,SC752AL,7263374400
SRX6446931,SC752S,6982003800
SRX6446886,SC753AL,7517301600
SRX6446930,SC753S,9792654900
SRX6446887,SC754AL,6899342700
SRX6446927,SC754S,8938338600
SRX6446892,SC755AL,7462826700
SRX6446926,SC755S,7226610000
SRX9902532,ENOD12_EV1/EM1F,4488128800
SRX9902534,ENOD12_EV2/EM2F,4491014600
SRX9902535,ENOD12_EV3/EM3F,4324237400
SRX9902536,MtHDTs_RNAi1/Ri1F,4486236200
SRX9902537,MtHDTs_RNAi2/Ri2F,4484158200
SRX9902533,MtHDTs_RNAi3/Ri3F,4499184800
